;********************
;2013.03.13日按TT语料统计词频整理
;据ju、去qu、需xu 、略lve4、虐nve4
;与Cizu_60K.txt的主要区别，删除类似”数据统计、大力发展、代表大会”等词，词频采用TT统计的词频
;20130318“新浪、微博、新浪网、个大降频	;20130326更新词频;2013.03.28增3.6词组
;20130401增加网络词汇2500个;20130403更新词频;2013.04.27添加常用三字词删除低频字词，补齐天干地支
;20130520增四三字词删除低频字词	;20130604增歇后语;20130605重新统计词频	;20130622 人名放入add_Nmame.txt 20130706删低频两字词
情感	qing2 gan3	100000000
便宜	pian2 yi2	100000000
笑了笑	xiao4 le5 xiao4	100000000
不锈钢	bu4 xiu4 gang1	100000000
分期付款	fen1 qi1 fu4 kuan3	100000000
行货	hang2 huo4	100000000
七月	qi1 yue4	100000000
注册	zhu4 ce4	100000000
数学	shu4 xue2	100000000
原因	yuan2 yin1	100000000
空调	kong1 tiao2	100000000
阳光	yang2 guang1	100000000
平米	ping2 mi3	100000000
天地	tian1 di4	100000000
焦点	jiao1 dian3	100000000
黑色	hei1 se4	100000000
开始	kai1 shi3	100000000
上的	shang4 de5	100000000
时代	shi2 dai4	100000000
连锁	lian2 suo3	100000000
排名	pai2 ming2	100000000
军事	jun1 shi4	100000000
黄金	huang2 jin1	100000000
我爱	wo3 ai4	100000000
影院	ying3 yuan4	100000000
支持	zhi1 chi2	100000000
长春	chang2 chun1	100000000
机构	ji1 gou4	100000000
陕西	shan3 xi1	100000000
施工	shi1 gong1	100000000
陕西省	shan3 xi1 sheng3	100000000
男人	nan2 ren2	100000000
计划	ji4 hua4	100000000
连衣裙	lian2 yi1 qun2	100000000
室内	shi4 nei4	100000000
优惠券	you1 hui4 quan4	100000000
东西	dong1 xi1	100000000
中山	zhong1 shan1	100000000
山西	shan1 xi1	100000000
保险	bao3 xian3	100000000
爱情	ai4 qing2	100000000
营销	ying2 xiao1	100000000
通知	tong1 zhi1	100000000
注意	zhu4 yi4	100000000
专用	zhuan1 yong4	100000000
逛街	guang4 jie1	100000000
宝贝	bao3 bei4	100000000
